"Date","state","Dist_Per_100K"
0,"AK",3599
0,"AL",795
0,"AR",840
0,"AZ",804
0,"CA",494
0,"CO",813
0,"CT",438
0,"DE",901
0,"FL",554
0,"GA",211
0,"HI",344
0,"IA",185
0,"ID",164
0,"IL",377
0,"IN",72
0,"KS",837
0,"KY",284
0,"LA",839
0,"MA",863
0,"MD",32
0,"ME",435
0,"MI",98
0,"MN",121
0,"MO",747
0,"MS",426
0,"MT",912
0,"NC",195
0,"ND",896
0,"NE",806
0,"NH",359
0,"NJ",110
0,"NM",837
0,"NV",570
0,"NY",466
0,"OH",83
0,"OK",838
0,"OR",116
0,"PA",244
0,"RI",460
0,"SC",833
0,"SD",882
0,"TN",14
0,"TX",326
0,"UT",304
0,"VA",845
0,"VT",625
0,"WA",410
0,"WI",854
0,"WV",925
0,"WY",842
7,"AK",6172
7,"AL",2911
7,"AR",2942
7,"AZ",2652
7,"CA",2704
7,"CO",2992
7,"CT",3105
7,"DE",3217
7,"FL",2742
7,"GA",2842
7,"HI",2680
7,"IA",2610
7,"ID",2651
7,"IL",1825
7,"IN",2443
7,"KS",3151
7,"KY",2702
7,"LA",3048
7,"MA",2646
7,"MD",3048
7,"ME",3324
7,"MI",2789
7,"MN",2413
7,"MO",2484
7,"MS",1951
7,"MT",3172
7,"NC",2819
7,"ND",2884
7,"NE",3283
7,"NH",3071
7,"NJ",3151
7,"NM",2825
7,"NV",2633
7,"NY",3133
7,"OH",2982
7,"OK",3151
7,"OR",3166
7,"PA",2280
7,"RI",3245
7,"SC",2075
7,"SD",3193
7,"TN",2392
7,"TX",2273
7,"UT",2596
7,"VA",3041
7,"VT",3546
7,"WA",2904
7,"WI",2115
7,"WV",3397
7,"WY",2181
14,"AK",7488
14,"AL",3101
14,"AR",4779
14,"AZ",4096
14,"CA",3965
14,"CO",4817
14,"CT",4071
14,"DE",5014
14,"FL",3517
14,"GA",3828
14,"HI",4608
14,"IA",4211
14,"ID",3746
14,"IL",3749
14,"IN",5244
14,"KS",4872
14,"KY",3911
14,"LA",4030
14,"MA",4895
14,"MD",4307
14,"ME",4891
14,"MI",4118
14,"MN",4455
14,"MO",4607
14,"MS",3721
14,"MT",4318
14,"NC",3998
14,"ND",3756
14,"NE",4567
14,"NH",4405
14,"NJ",4548
14,"NM",4230
14,"NV",3743
14,"NY",4328
14,"OH",3983
14,"OK",4420
14,"OR",4494
14,"PA",3653
14,"RI",5454
14,"SC",3032
14,"SD",5423
14,"TN",4408
14,"TX",3855
14,"UT",4490
14,"VA",3862
14,"VT",5437
14,"WA",4099
14,"WI",3163
14,"WV",4843
14,"WY",4017
21,"AK",11308
21,"AL",4595
21,"AR",6424
21,"AZ",6212
21,"CA",5662
21,"CO",5977
21,"CT",5913
21,"DE",6611
21,"FL",6131
21,"GA",5363
21,"HI",6724
21,"IA",5395
21,"ID",5708
21,"IL",5526
21,"IN",6085
21,"KS",6256
21,"KY",5340
21,"LA",6327
21,"MA",6014
21,"MD",5745
21,"ME",6669
21,"MI",6647
21,"MN",6033
21,"MO",6510
21,"MS",4527
21,"MT",6458
21,"NC",6164
21,"ND",5639
21,"NE",6709
21,"NH",5668
21,"NJ",5948
21,"NM",6373
21,"NV",5444
21,"NY",5797
21,"OH",4906
21,"OK",6646
21,"OR",5976
21,"PA",5942
21,"RI",6537
21,"SC",4365
21,"SD",6661
21,"TN",5858
21,"TX",5728
21,"UT",5960
21,"VA",6383
21,"VT",7624
21,"WA",6117
21,"WI",5346
21,"WV",7046
21,"WY",6475
28,"AK",19148
28,"AL",7561
28,"AR",9861
28,"AZ",7808
28,"CA",8379
28,"CO",9195
28,"CT",8822
28,"DE",9171
28,"FL",7805
28,"GA",9380
28,"HI",10061
28,"IA",8365
28,"ID",8848
28,"IL",7156
28,"IN",8047
28,"KS",8814
28,"KY",7267
28,"LA",7894
28,"MA",9098
28,"MD",9266
28,"ME",10183
28,"MI",7749
28,"MN",8935
28,"MO",8568
28,"MS",7158
28,"MT",7331
28,"NC",8112
28,"ND",8756
28,"NE",9406
28,"NH",9142
28,"NJ",7362
